	Adult_FG_1	Adult_FG_2	Adult_FG_3	Adult_OV_1	Adult_OV_2	Adult_OV_3
FUN_000188-T1	1	3	0	1	0	0
FUN_000189-T1	33	70	20	21	73	19
FUN_000190-T1	0	0	0	0	0	0
FUN_000191-T1	0	0	0	0	0	0
FUN_000192-T1	0	0	0	0	0	0
FUN_000193-T1	0	1	0	0	4	1
FUN_000194-T1	0	0	0	0	0	0
FUN_000195-T1	1	0	0	0	0	0
FUN_000196-T1	0	0	0	0	0	0
FUN_000197-T1	0	0	0	0	0	0
FUN_000198-T1	0	0	0	0	0	0
FUN_000199-T1	1	2	0	22	30	42
FUN_000200-T1	14	3	1	2	3	0
FUN_000201-T1	0	0	0	0	0	0
FUN_000202-T1	16	53	11	17	56	16
FUN_000203-T1	0	0	0	0	0	0
FUN_000204-T1	12	46	12	10	42	16
FUN_000205-T1	13	23	7	22	38	26
FUN_000206-T1	0	0	0	0	0	0
FUN_000207-T1	0	0	0	0	0	0
FUN_000208-T1	0	0	0	0	0	0
FUN_000209-T1	34	77	21	26	115	31
FUN_000210-T1	0	0	0	0	0	0
FUN_000211-T1	102	279	71	97	293	109
FUN_000212-T1	0	0	0	0	0	0
FUN_000213-T1	0	0	0	0	0	0
FUN_000214-T1	0	0	0	0	0	0
FUN_000215-T1	1	14	7	22	42	7
FUN_000216-T1	1	8	0	8	6	6
FUN_000217-T1	0	0	0	1	0	0
FUN_000218-T1	5	0	2	0	0	0
FUN_000219-T1	1	0	13	0	0	0
FUN_000220-T1	2	0	2	0	0	0
FUN_000221-T1	0	0	0	0	0	0
FUN_000222-T1	39	98	12	22	118	20
FUN_000223-T1	32	78	16	365	1947	385
FUN_000224-T1	0	1	0	0	2	0
FUN_000225-T1	29	106	24	44	143	33
FUN_000226-T1	7	10	4	10	37	7
FUN_000227-T1	0	0	0	0	0	0
FUN_000228-T1	22	61	13	16	63	14
FUN_000229-T1	41	47	19	30	59	21
FUN_000230-T1	0	0	0	0	0	0
